| Nombre | Modelo | DESCRIPCION | PRECIO |
| Kit para Automatizar Portones Abatibles XBS-PK03 | XBS-PK03 | KIT DE BRAZOS PARA AUTOMATIZAR PORTONES VEHICULARES ABATIBLES DE 2 HOJAS/ 3 MTS / 300 KG / USO SOLO RESIDENCIAL / COMPATIBLE CON RESPALDO DE ENERGÍA | 11369.39 |
| Kit de Control de Acceso LF10-KIT | LF10-KIT | KIT DE CONTROL DE ACCESO LF10/ PUSH / COMPATIBLE CON ZKBIOACCESS / 1,500 USUARIOS / CHAPA MAGNÉTICA / BOTÓN DE SALIDA / TARJETA DE PROXIMIDAD | 4500.00 |
| Kit de Control de Acceso Todo Incluido DS-KAS261 | DS-KAS261 | KIT DE CONTROL DE ACCESO TODO INCLUIDO CON LECTOR DE HUELLAS Y TARJETAS COMPATIBLE CON APP HIKCONNECT / INCLUYE ELECTROIMÁN BOTÓN DE SALIDA Y MONTAJES Z Y L PARA IMÁN (DS-K1T804) | 3960.00 |
| Kit de Montajes para Chapa DS-K4H258-L/Z | DS-K4H258-L/Z | KIT DE MONTAJES Z Y L PARA CERRADURA MAGNÉTICA HIKVISION / COMPATIBLE CON DS-K4H258S / USO EN PUERTA DE MADERA Y METAL | 450.00 |
| Kit Doorphone Kocom KDP-602G | KDP-602G | KIT DOORPHONE KOCOM | 1750.00 |
| Kit Receptor Inalámbrico KIT-CME-WL | KIT-CME-WL | KIT RECEPTOR INALÁMBRICO CON ANTENA / HASTA 45M EN LINEA DE VISTA / INCLUYE DOS CONTROLES Y 3 METROS DE CABLE RG58 PARA LA ANTENA | 22780.00 |
| Lazo Magnético 1.5x1.5m SYS-LM8 | SYS-LM8 | LAZO MAGNÉTICO PARA DETECCIÓN DE VEHÍCULOS / 1.5 X 1.5 METROS / IDEAL PARA DETECCIÓN DE VEHÍCULOS DE GRAN TAMAÑO | 2200.00 |
| Lector Biométrico F22-ID | F22-ID | LECTOR BIOMÉTRICO DE HUELLA / PROXIMIDAD / SILKID / 3000 USUARIOS / ADMS GRATIS / WIFI / TECLADO TÁCTIL / ESTÉTICO / SOPORTA DDNS CON BIOTIMEPRO | 4225.28 |
| Lector Biométrico Autónomo X7 | X7 | LECTOR DE HUELLA Y PROXIMIDAD CON TECLADO AUTÓNOMO, 500 HUELLAS/500 TARJETAS/8 PASSWORDS | 1207.64 |
| Lector de Huella Exterior FR1500S | FR1500S | LECTOR DE HUELLA Y TARJETA DE PROXIMIDAD ESCLAVO RS-485 CON SENSOR DE HUELLA SILKID PARA EXTERIOR | 2700.00 |
